episode,score,avg_score
306,-100.67461708474187,-94.86098970672094
307,-51.56536036172662,-93.52605053988049
308,-105.36308320183592,-93.45204221632416
309,-68.29687383624649,-93.78347499425645
310,-56.05946085772508,-93.87934245763557
311,-63.25661382744222,-93.90448978141018
312,-10.424339724447478,-92.9802509758337
313,-34.65313630026688,-92.39345193073983
314,-59.30185603274266,-92.52607857360556
315,-58.50064043033405,-92.44121774204754
316,-54.42800872611135,-91.90903219198817
317,-60.35791027758485,-91.35708897498216
318,-47.91610917876821,-90.59336474415406
319,-65.50618420861196,-90.07427774493432
320,-68.04676744784953,-89.83012590435541
321,-90.37049496577949,-90.06171651673986
322,-57.387984758768596,-89.57543920683898
323,-34.69709793253112,-88.69287592332478
324,-52.527543515632054,-88.06192889805017
325,-31.039061178555542,-87.97753654728722
326,-218.89494038479273,-89.25883211853234
327,-71.04290712799009,-89.12422899632548
328,-77.33765894125773,-89.41850598245773
329,-59.990023449789824,-89.35163716250912
330,-51.183813748719146,-88.26548799142446
331,-107.16019447476151,-88.70868533208353
332,-236.59575094243917,-89.86923641256922
333,-75.99279768610266,-89.39838491381146
334,-92.66443480508748,-89.25558610273885
335,-75.05883970040927,-89.00884891980115
336,-62.17784171656157,-88.17160035312781
337,-36.81452885078886,-87.90871242556746
338,-64.83067860904943,-87.88462794857324
339,-69.33589991411061,-87.77144760332328
340,-65.22707853383251,-87.9120089388569
341,-148.61307341371293,-89.32475582740088
342,-64.56893679362597,-88.902198683314
343,-142.0120572766004,-89.36524229371173
344,-114.94150847751541,-89.84139883766926
345,-46.86391694761082,-89.58778851861845
346,-113.17424305152049,-89.70569027771646
347,-81.13625457291238,-89.71668282187635
348,-130.70808324259494,-89.96065834551969
349,-68.58717421718497,-88.64222222869292
350,-75.34670019050164,-88.59802874315275
351,-147.62090264431595,-88.73205566129263
352,-57.37682221689053,-88.99340134344266
353,-33.70703769856617,-88.33657677359282
354,-53.77960882987294,-88.33805078760625
355,-37.69593754893326,-88.20633552853755
356,-58.005423880327385,-85.08250343982336
357,-148.6768320713695,-85.99246073415186
358,-47.91150171044603,-85.38267888689252
359,-39.93529575959376,-84.96166324435562
360,-101.08882312187916,-85.4056612836782
361,-115.12750772702897,-85.49537515513711
362,-87.49327008858855,-85.57984805098445
363,-73.59107222870992,-85.45904930493936
364,-19.308112652761565,-84.9557359870002
365,-31.331974098562227,-84.67990248253338
366,-76.0458075078682,-84.67322324901873
367,-41.69403383120341,-84.56544526340305
368,-55.108393776235715,-85.01047338387592
369,-84.86315928380166,-84.97347140894375
370,-49.11580629544113,-85.31825070891429
371,-53.70059157666854,-84.99561271497261
372,-28.895967799286723,-84.31912258544631
373,-94.78127091110173,-84.21329551918251
374,-90.5592522864877,-84.17245558603919
375,-65.52949573438278,-84.68866820839087
376,-114.60115621050865,-85.55224157358626
377,-95.28468708959939,-85.6125087148525
378,-75.2367140796482,-85.7035606741532
379,-74.91088055927776,-85.64460352207887
380,-89.90564070089087,-85.40865508510123
381,-95.25952697016392,-85.85268885139969
382,-47.08408309215092,-85.60085848048101
383,-82.33355395602501,-85.56873740898253
384,12.399759599000546,-83.73507629393498
385,-109.65747188929392,-82.59954143892126
386,-47.4794666560454,-81.26770377287528
387,-99.96649523028638,-81.32901460872537
388,-75.11593480329284,-80.96155175596155
389,-75.27976050624179,-80.52421495108571
390,-132.6978345152021,-80.94771420154204
391,-87.50496928738335,-79.85845829004867
