episode,score,avg_score
630,-108.62575984118784,-55.32234748873444
631,-56.12309182546892,-56.03641446665864
632,-34.769202249045165,-55.86153047635866
633,-164.19464883147697,-57.57666252781047
634,-94.72755172645304,-57.89758484955153
635,-71.19297349132708,-57.93460693986028
636,-74.78073502626513,-58.408114289332495
637,-56.32095360956647,-58.03306350614151
638,-53.578329542639494,-58.14050660555882
639,15.080127584148656,-57.74778126337641
640,-41.569961198458074,-57.23357907886054
641,-37.58373509802155,-57.17509653547232
642,-40.15371704728953,-57.060437408404816
643,-66.0758876717023,-55.49258490353863
644,-108.23490942246106,-55.8453061586702
645,-52.325876346797955,-55.89630880562805
646,-10.963810402511996,-55.28432187643798
647,-38.76662144694485,-55.32493684209602
648,-5.192543287700943,-54.709206102264986
649,-7.181086600836636,-54.77776383293642
650,-126.52408436330936,-55.86444902484104
651,-46.226262272545725,-55.64371801828491
652,-32.94725508493558,-55.78089245749104
653,-48.10599644587387,-55.74003707058564
654,-51.68441898654033,-55.99117908485257
655,-51.120802439011385,-56.13233430268601
656,-32.85648224122815,-55.852679910409826
657,-49.57443082046413,-55.89529700138417
658,-27.51810231102951,-55.6600486448219
659,-75.24243008893338,-56.062857605392786
660,-4.381127987598518,-55.36501981139982
661,-180.41288399275118,-56.894488621268486
662,-44.08691345155559,-57.28661794772279
663,-100.06529595677137,-58.0481502214698
664,-21.03661120316268,-57.21066206048973
665,-54.22414849694708,-57.424843614350515
666,-117.40973715126393,-58.33613244377137
667,12.686764498453016,-57.793763766880645
668,-24.207988791648674,-57.10394570315068
669,-1.2086757562111359,-56.82752629161762
670,-46.431237276878306,-56.586468300840906
671,-95.68013200914591,-57.132561021521894
672,-160.4960856740239,-58.01118835725613
673,4.996701719299139,-57.434497939966604
674,-169.61065007106086,-58.899961690888496
675,49.52063336905016,-57.659953418168904
676,64.03627563549638,-56.13445009537906
677,-120.91371747453394,-56.35628245034838
678,-23.101407186766792,-55.71900856604234
679,-54.37253236422097,-55.68262438999054
680,-21.0357403769966,-54.90894811119609
681,-35.92103661571093,-54.73369881293879
682,-40.33221863250485,-54.89647428832154
683,10.661850937014592,-54.360616518727284
684,35.780818516831395,-53.83199054803579
685,-67.52234701161433,-53.724985624030126
686,23.574134093329707,-51.969863168750535
687,-49.53179775653159,-51.912292915902725
688,-82.46535921145043,-52.192006997725414
689,-75.10835359652671,-51.04786492937083
690,-30.50333179645837,-50.22952797139943
691,-11.062724067655878,-50.14228686861451
692,-39.68467462245579,-50.409321021650115
693,-6.360891728481519,-50.00801034263597
